# Weather station Nottingham, UK, WMO_ID=3354,selection from 11.11.2020 till 21.12.2020, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=3354&lang=en
#
"Local time in Nottingham";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"01.12.2020 01:00";"3.9";"757.2";"768.2";"0.8";"77";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"0.2";"";"";"";"";"";"";
"01.12.2020 00:00";"3.4";"758.2";"769.2";"2.4";"84";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"2000-2500";"";"";"14.0";"1.0";"No precipitation";"6";"";"";"";"";
"30.11.2020 23:00";"4.5";"756.7";"767.7";"1.5";"75";"Wind blowing from the north-west";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"60.0";"0.4";"";"";"";"";"";"";
"30.11.2020 22:00";"5.0";"756.4";"767.2";"2.0";"75";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"55.0";"0.8";"";"";"";"";"";"";
"30.11.2020 21:00";"5.4";"755.8";"766.8";"2.1";"77";"Wind blowing from the north-west";"4";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"1.6";"";"";"";"";"";"";
"30.11.2020 20:00";"6.2";"755.2";"766.1";"2.1";"77";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"2.5";"";"";"";"";"";"";
"30.11.2020 19:00";"7.1";"754.4";"765.3";"1.5";"75";"Wind blowing from the north-west";"5";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"50.0";"3.0";"";"";"";"";"";"";
"30.11.2020 18:00";"8.3";"753.7";"764.4";"0.4";"77";"Wind blowing from the north-west";"6";"";"";"";"Rain (not freezing). ";"";"";"";"9.9";"";"";"2500 or more, or no clouds.";"";"";"55.0";"4.5";"0.8";"12";"";"";"";"";
"30.11.2020 17:00";"9.8";"753.1";"763.7";"-0.4";"89";"Wind blowing from the west";"5";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"300-600";"";"";"27.0";"8.1";"";"";"";"";"";"";
"30.11.2020 16:00";"8.8";"752.9";"763.6";"-1.1";"97";"Wind blowing from the west";"5";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"100-200";"";"";"15.0";"8.4";"";"";"";"";"";"";
"30.11.2020 15:00";"8.6";"753.3";"764.0";"-1.5";"98";"Wind blowing from the west-southwest";"5";"";"";"";"Drizzle, not freezing, moderate. ";"";"";"";"";"";"";"100-200";"";"";"2.7";"8.3";"";"";"";"";"";"";
"30.11.2020 14:00";"8.5";"753.5";"764.3";"-1.8";"97";"Wind blowing from the west";"6";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"3.9";"8.0";"";"";"";"";"";"";
"30.11.2020 13:00";"8.3";"754.0";"764.8";"-2.2";"96";"Wind blowing from the west-southwest";"7";"";"";"";"Drizzle and rain, slight. ";"";"";"";"";"";"";"100-200";"";"";"4.8";"7.7";"";"";"";"";"";"";
"30.11.2020 12:00";"8.7";"754.8";"765.5";"-1.7";"91";"Wind blowing from the west-southwest";"6";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"200-300";"";"";"16.0";"7.3";"Trace of precipitation";"6";"";"";"";"";
"30.11.2020 11:00";"8.4";"755.3";"766.1";"-1.4";"96";"Wind blowing from the west-southwest";"6";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"11.0";"7.8";"";"";"";"";"";"";
"30.11.2020 10:00";"7.7";"756.2";"767.0";"-0.9";"99";"Wind blowing from the west-southwest";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.5";"7.6";"";"";"";"";"";"";
"30.11.2020 09:00";"6.8";"756.5";"767.4";"-0.9";"100";"Wind blowing from the west-southwest";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"4.7";"6.8";"";"";"";"";"";"";
"30.11.2020 08:00";"6.5";"756.7";"767.6";"-1.1";"99";"Wind blowing from the west-southwest";"3";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"100-200";"";"";"4.2";"6.4";"";"";"";"";"";"";
"30.11.2020 07:00";"6.3";"757.1";"768.1";"-0.8";"100";"Wind blowing from the south-west";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"Less than  50";"";"";"3.1";"6.3";"";"";"";"";"";"";
"30.11.2020 06:00";"6.6";"757.4";"768.4";"-0.8";"100";"Wind blowing from the south-west";"4";"";"";"";"Fog ";"";"";"5.8";"";"";"";"Less than  50";"";"";"2.3";"6.6";"0.2";"12";"";"";"";"";
"30.11.2020 05:00";"6.8";"757.8";"768.7";"-0.9";"100";"Wind blowing from the south-west";"3";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"";"";"";"0.4";"6.8";"";"";"";"";"";"";
"30.11.2020 04:00";"6.6";"757.9";"768.7";"-0.9";"100";"Wind blowing from the south-west";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"6.6";"";"";"";"";"";"";
"30.11.2020 03:00";"5.9";"758.2";"769.2";"-0.8";"99";"Wind blowing from the south-west";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"5.8";"";"";"";"";"";"";
"30.11.2020 02:00";"6.1";"758.7";"769.6";"-0.2";"99";"Wind blowing from the west-southwest";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.1";"6.0";"";"";"";"";"";"";
"30.11.2020 01:00";"6.6";"758.8";"769.8";"-0.3";"100";"Wind blowing from the west";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.3";"6.6";"";"";"";"";"";"";
"30.11.2020 00:00";"4.1";"756.9";"767.8";"";"76";"Wind blowing from the west-northwest";"3";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"65.0";"0.2";"No precipitation";"6";"";"";"";"";
"29.11.2020 23:00";"7.1";"758.9";"769.8";"-0.3";"99";"Wind blowing from the south-west";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.6";"7.0";"";"";"";"";"";"";
"29.11.2020 22:00";"7.4";"759.1";"770.0";"0.0";"99";"Wind blowing from the south-west";"2";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"Less than  50";"";"";"1.2";"7.2";"";"";"";"";"";"";
"29.11.2020 21:00";"7.4";"759.3";"770.2";"0.2";"99";"Wind blowing from the west-southwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"Less than  50";"";"";"1.2";"7.2";"";"";"";"";"";"";
"29.11.2020 20:00";"7.5";"759.2";"770.1";"0.2";"99";"Wind blowing from the west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"50-100";"";"";"2.8";"7.3";"";"";"";"";"";"";
"29.11.2020 19:00";"7.1";"759.1";"770.0";"0.1";"99";"Wind blowing from the west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"Less than  50";"";"";"1.9";"7.0";"";"";"";"";"";"";
"29.11.2020 18:00";"7.0";"759.1";"769.9";"0.3";"99";"Wind blowing from the west";"4";"";"";"";"Mist. ";"";"";"";"7.1";"";"";"50-100";"";"";"2.2";"6.9";"No precipitation";"12";"";"";"";"";
"29.11.2020 17:00";"7.1";"759.0";"769.9";"0.2";"99";"Wind blowing from the west-southwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"50-100";"";"";"2.3";"6.9";"";"";"";"";"";"";
"29.11.2020 16:00";"7.0";"759.0";"769.9";"0.1";"99";"Wind blowing from the west";"2";"";"";"";"Fog ";"";"";"";"";"";"";"Less than  50";"";"";"3.8";"6.9";"";"";"";"";"";"";
"29.11.2020 15:00";"7.0";"758.8";"769.6";"-0.3";"99";"Wind blowing from the west-southwest";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"1.5";"6.9";"";"";"";"";"";"";
"29.11.2020 14:00";"7.0";"758.8";"769.7";"-0.7";"100";"Wind blowing from the west-southwest";"3";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"1.4";"7.0";"";"";"";"";"";"";
"29.11.2020 13:00";"6.9";"758.9";"769.9";"-0.2";"99";"Wind blowing from the south-southwest";"2";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.9";"6.8";"";"";"";"";"";"";
"29.11.2020 12:00";"6.9";"759.1";"770.0";"0.3";"99";"Wind blowing from the south";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.3";"6.8";"No precipitation";"6";"";"";"";"";
"29.11.2020 11:00";"6.8";"759.5";"770.4";"1.0";"99";"Wind blowing from the south-southeast";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"";"";"";"0.2";"6.7";"";"";"";"";"";"";
"29.11.2020 10:00";"6.6";"759.1";"769.9";"0.7";"99";"Wind blowing from the south-southwest";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"6.5";"";"";"";"";"";"";
"29.11.2020 09:00";"6.4";"758.8";"769.7";"0.6";"99";"Wind blowing from the south";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.8";"6.3";"";"";"";"";"";"";
"29.11.2020 08:00";"6.6";"758.5";"769.4";"0.4";"99";"Wind blowing from the south-southeast";"1";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"1.3";"6.5";"";"";"";"";"";"";
"29.11.2020 07:00";"6.7";"758.4";"769.3";"0.5";"99";"Wind blowing from the south";"1";"";"";"";"Fog or ice fog, has become thinner during the past hour. ";"";"";"";"";"";"";"50-100";"";"";"0.6";"6.6";"";"";"";"";"";"";
"29.11.2020 06:00";"6.9";"758.2";"769.2";"0.3";"99";"Wind blowing from the south-southwest";"1";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"6.9";"";"";"";"";"";"";"0.1";"6.8";"No precipitation";"12";"";"";"";"";
"29.11.2020 05:00";"6.9";"758.1";"769.0";"0.1";"99";"Wind blowing from the south-southeast";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"";"";"";"0.1";"6.8";"";"";"";"";"";"";
"29.11.2020 04:00";"6.9";"757.9";"768.8";"0.0";"99";"Wind blowing from the east-southeast";"1";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"";"";"";"0.2";"6.8";"";"";"";"";"";"";
"29.11.2020 03:00";"7.0";"757.9";"768.8";"0.2";"99";"Wind blowing from the east";"2";"";"";"";"Fog or ice fog, has begun or become thicker during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.4";"6.8";"";"";"";"";"";"";
"29.11.2020 02:00";"7.1";"758.0";"768.9";"0.5";"99";"Wind blowing from the north-east";"1";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.6";"6.9";"";"";"";"";"";"";
"29.11.2020 01:00";"7.2";"757.9";"768.8";"0.8";"99";"Wind blowing from the east";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"7.0";"";"";"";"";"";"";
"29.11.2020 00:00";"7.4";"757.7";"768.6";"0.8";"99";"Wind blowing from the east";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"7.2";"No precipitation";"6";"";"";"";"";
"28.11.2020 23:00";"7.5";"757.5";"768.4";"1.0";"98";"Wind blowing from the east-northeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"50-100";"";"";"1.0";"7.2";"";"";"";"";"";"";
"28.11.2020 22:00";"7.7";"757.1";"768.0";"0.9";"97";"Wind blowing from the east-northeast";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"1.6";"7.3";"";"";"";"";"";"";
"28.11.2020 21:00";"7.9";"756.9";"767.7";"1.0";"97";"Wind blowing from the east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"2.1";"7.5";"";"";"";"";"";"";
"28.11.2020 20:00";"8.0";"756.5";"767.4";"1.1";"97";"Wind blowing from the east";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"2.4";"7.5";"";"";"";"";"";"";
"28.11.2020 19:00";"8.0";"756.2";"767.0";"1.3";"97";"Wind blowing from the east";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"2.2";"7.6";"";"";"";"";"";"";
"28.11.2020 18:00";"8.0";"755.9";"766.7";"1.4";"97";"Wind blowing from the east-northeast";"3";"";"";"";"Mist. ";"";"";"";"8.1";"";"";"100-200";"";"";"1.9";"7.6";"0.8";"12";"";"";"";"";
"28.11.2020 17:00";"8.0";"755.4";"766.2";"1.1";"97";"Wind blowing from the east";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"2.0";"7.6";"";"";"";"";"";"";
"28.11.2020 16:00";"8.1";"754.9";"765.7";"0.8";"97";"Wind blowing from the east-northeast";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"100-200";"";"";"2.5";"7.7";"";"";"";"";"";"";
"28.11.2020 15:00";"8.0";"754.5";"765.3";"0.5";"97";"Wind blowing from the east-northeast";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"100-200";"";"";"2.1";"7.6";"";"";"";"";"";"";
"28.11.2020 14:00";"7.6";"754.3";"765.1";"0.3";"98";"Wind blowing from the east-northeast";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"100-200";"";"";"1.9";"7.3";"";"";"";"";"";"";
"28.11.2020 13:00";"7.1";"754.1";"765.0";"0.3";"97";"Wind blowing from the east-northeast";"4";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"100-200";"";"";"2.1";"6.7";"";"";"";"";"";"";
"28.11.2020 12:00";"6.8";"754.0";"764.8";"0.4";"97";"Wind blowing from the east-northeast";"4";"";"";"";"Drizzle (not freezing) or snow grains. ";"";"";"";"";"";"";"100-200";"";"";"3.0";"6.4";"0.8";"6";"";"";"";"";
"28.11.2020 11:00";"6.1";"754.0";"764.8";"0.8";"97";"Wind blowing from the east-northeast";"5";"";"";"";"Drizzle, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"3.4";"5.6";"";"";"";"";"";"";
"28.11.2020 10:00";"5.7";"753.8";"764.7";"1.0";"97";"Wind blowing from the north-east";"5";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"3.2";"5.2";"";"";"";"";"";"";
"28.11.2020 09:00";"5.1";"753.6";"764.5";"0.9";"96";"Wind blowing from the east-northeast";"3";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"200-300";"";"";"4.7";"4.5";"";"";"";"";"";"";
"28.11.2020 08:00";"5.0";"753.2";"764.1";"0.7";"94";"Wind blowing from the east-northeast";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"6.0";"4.1";"";"";"";"";"";"";
"28.11.2020 07:00";"4.7";"752.8";"763.6";"0.2";"94";"Wind blowing from the east-northeast";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"6.0";"3.8";"";"";"";"";"";"";
"28.11.2020 06:00";"4.3";"752.7";"763.6";"0.2";"93";"Wind blowing from the east-northeast";"3";"";"";"";"Mist. ";"";"";"-0.6";"";"";"";"600-1000";"";"";"9.0";"3.3";"No precipitation";"12";"";"";"";"";
"28.11.2020 05:00";"3.9";"752.5";"763.4";"0.0";"93";"Wind blowing from the east-northeast";"4";"";"";"";"Mist. ";"";"";"";"";"";"";"300-600";"";"";"9.0";"2.8";"";"";"";"";"";"";
"28.11.2020 04:00";"3.3";"752.6";"763.6";"0.0";"92";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"10.0";"2.1";"";"";"";"";"";"";
"28.11.2020 03:00";"3.3";"752.5";"763.4";"-0.2";"91";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"13.0";"1.9";"";"";"";"";"";"";
"28.11.2020 02:00";"3.3";"752.5";"763.4";"-0.2";"87";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"18.0";"1.3";"";"";"";"";"";"";
"28.11.2020 01:00";"3.0";"752.6";"763.6";"-0.2";"87";"Wind blowing from the north-east";"3";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"25.0";"1.0";"";"";"";"";"";"";
"28.11.2020 00:00";"7.4";"757.7";"768.6";"4.9";"99";"Wind blowing from the east";"2";"";"";"";"Fog or ice fog, no appreciable change during the past hour. ";"";"";"";"";"";"";"Less than  50";"";"";"0.5";"7.2";"No precipitation";"6";"";"";"";"";
"27.11.2020 23:00";"1.5";"752.7";"763.7";"-0.4";"92";"Wind blowing from the east-northeast";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"15.0";"0.4";"";"";"";"";"";"";
"27.11.2020 22:00";"-0.6";"752.8";"763.9";"-0.3";"95";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"9.0";"-1.3";"";"";"";"";"";"";
"27.11.2020 21:00";"0.6";"752.8";"763.9";"-0.3";"94";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"13.0";"-0.2";"";"";"";"";"";"";
"27.11.2020 20:00";"0.8";"753.1";"764.1";"-0.2";"92";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"13.0";"-0.4";"";"";"";"";"";"";
"27.11.2020 19:00";"1.9";"753.1";"764.1";"0.0";"89";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"15.0";"0.2";"";"";"";"";"";"";
"27.11.2020 18:00";"2.9";"753.1";"764.1";"-0.2";"86";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"8.9";"";"";"1000-1500";"";"";"16.0";"0.7";"Trace of precipitation";"12";"";"";"";"";
"27.11.2020 17:00";"3.1";"753.3";"764.3";"-0.1";"84";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"27.0";"0.7";"";"";"";"";"";"";
"27.11.2020 16:00";"3.7";"753.1";"764.1";"-0.7";"76";"Wind blowing from the east-northeast";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"-0.2";"";"";"";"";"";"";
"27.11.2020 15:00";"5.8";"753.3";"764.1";"-1.0";"67";"Wind blowing from the east";"2";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"45.0";"0.1";"";"";"";"";"";"";
"27.11.2020 14:00";"7.9";"753.4";"764.2";"-1.3";"66";"Wind blowing from the south-east";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"19.0";"1.9";"";"";"";"";"";"";
"27.11.2020 13:00";"7.4";"753.8";"764.6";"-1.1";"60";"Wind blowing from the east-southeast";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"35.0";"0.1";"";"";"";"";"";"";
"27.11.2020 12:00";"8.9";"754.3";"765.0";"-0.6";"63";"Wind blowing from the south-southeast";"1";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"19.0";"2.2";"Trace of precipitation";"6";"";"";"";"";
"27.11.2020 11:00";"8.0";"754.7";"765.5";"-0.5";"69";"Wind blowing from the east";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"25.0";"2.5";"";"";"";"";"";"";
"27.11.2020 10:00";"6.2";"754.9";"765.8";"-0.3";"84";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"18.0";"3.7";"";"";"";"";"";"";
"27.11.2020 09:00";"3.2";"754.9";"765.9";"-0.3";"97";"Wind blowing from the west";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"2.8";"";"";"";"";"";"";
"27.11.2020 08:00";"1.9";"755.2";"766.2";"-0.1";"97";"Wind blowing from the west-northwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"7.0";"1.5";"";"";"";"";"";"";
"27.11.2020 07:00";"2.0";"755.2";"766.2";"-0.1";"96";"Wind blowing from the north-east";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"7.0";"1.4";"";"";"";"";"";"";
"27.11.2020 06:00";"3.0";"755.2";"766.2";"-0.3";"95";"Wind blowing from the east-northeast";"1";"";"";"";" ";"";"";"2.5";"";"";"";"1000-1500";"";"";"9.0";"2.3";"No precipitation";"12";"";"";"";"";
"27.11.2020 05:00";"3.8";"755.3";"766.3";"-0.4";"97";"Calm, no wind";"0";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"12.0";"3.3";"";"";"";"";"";"";
"27.11.2020 04:00";"3.7";"755.3";"766.3";"-0.3";"98";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"7.0";"3.4";"";"";"";"";"";"";
"27.11.2020 03:00";"3.6";"755.5";"766.5";"-0.1";"98";"Wind blowing from the north";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"8.0";"3.3";"";"";"";"";"";"";
"27.11.2020 02:00";"3.4";"755.7";"766.6";"0.2";"98";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"5.0";"3.1";"";"";"";"";"";"";
"27.11.2020 01:00";"2.9";"755.6";"766.6";"0.1";"97";"Wind blowing from the north-northwest";"1";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"6.0";"2.5";"";"";"";"";"";"";
"27.11.2020 00:00";"2.2";"752.7";"763.6";"-2.7";"88";"Wind blowing from the north-east";"2";"";"";"";" ";"";"";"";"";"";"";"600-1000";"";"";"22.0";"0.4";"No precipitation";"6";"";"";"";"";
"26.11.2020 23:00";"3.7";"755.5";"766.5";"";"94";"Wind blowing from the west";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"7.0";"2.8";"";"";"";"";"";"";
"26.11.2020 22:00";"4.8";"755.5";"766.3";"0.1";"87";"Wind blowing from the north-west";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"21.0";"2.8";"";"";"";"";"";"";
"26.11.2020 21:00";"6.0";"755.4";"766.3";"0.1";"85";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"3.6";"";"";"";"";"";"";
"26.11.2020 20:00";"6.5";"755.5";"766.3";"";"87";"Wind blowing from the west-northwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"11.0";"4.4";"";"";"";"";"";"";
"26.11.2020 19:00";"6.8";"755.4";"766.3";"0.4";"85";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"19.0";"4.5";"";"";"";"";"";"";
"26.11.2020 18:00";"6.5";"755.3";"766.2";"0.3";"88";"Wind blowing from the west";"3";"";"";"";" ";"";"";"";"8.2";"";"";"1000-1500";"";"";"21.0";"4.7";"Trace of precipitation";"12";"";"";"";"";
"26.11.2020 17:00";"6.5";"755.2";"766.0";"0.0";"90";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"4.9";"";"";"";"";"";"";
"26.11.2020 16:00";"6.9";"755.0";"765.9";"-0.2";"87";"Wind blowing from the west-southwest";"2";"";"";"";"Rain (not freezing). ";"";"";"";"";"";"";"1000-1500";"";"";"22.0";"4.9";"";"";"";"";"";"";
"26.11.2020 15:00";"7.4";"755.0";"765.8";"-0.2";"85";"Wind blowing from the west-southwest";"3";"";"";"";"Rain, not freezing, slight. ";"";"";"";"";"";"";"1000-1500";"";"";"2.7";"5.0";"";"";"";"";"";"";
"26.11.2020 14:00";"7.4";"755.2";"766.1";"-0.4";"86";"Wind blowing from the south-west";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"19.0";"5.1";"";"";"";"";"";"";
"26.11.2020 13:00";"8.1";"755.2";"766.0";"-0.4";"84";"Wind blowing from the west-southwest";"1";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"18.0";"5.5";"";"";"";"";"";"";
"26.11.2020 12:00";"6.0";"755.2";"766.1";"-0.2";"90";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"13.0";"4.4";"No precipitation";"6";"";"";"";"";
"26.11.2020 11:00";"5.1";"755.6";"766.5";"0.4";"91";"Wind blowing from the west-southwest";"2";"";"";"";" ";"";"";"";"";"";"";"1000-1500";"";"";"12.0";"3.8";"";"";"";"";"";"";
"26.11.2020 10:00";"3.8";"755.6";"766.6";"0.6";"97";"Wind blowing from the west-southwest";"2";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"9.0";"3.3";"";"";"";"";"";"";
"26.11.2020 09:00";"2.0";"755.4";"766.4";"0.7";"98";"Wind blowing from the west-southwest";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"5.0";"1.7";"";"";"";"";"";"";
"26.11.2020 08:00";"1.5";"755.2";"766.3";"0.6";"97";"Wind blowing from the west-southwest";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"1000-1500";"";"";"3.4";"1.1";"";"";"";"";"";"";
"26.11.2020 07:00";"1.7";"755.0";"766.0";"0.4";"98";"Wind blowing from the west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"5.0";"1.4";"";"";"";"";"";"";
"26.11.2020 06:00";"1.1";"754.7";"765.8";"0.2";"97";"Wind blowing from the west";"2";"";"";"";"Mist. ";"";"";"1.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.3";"0.7";"0.2";"12";"";"";"";"";
"26.11.2020 05:00";"2.6";"754.6";"765.6";"0.3";"97";"Wind blowing from the west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"11.0";"2.1";"";"";"";"";"";"";
"26.11.2020 04:00";"1.9";"754.6";"765.7";"0.8";"97";"Wind blowing from the west";"3";"";"";"";"Mist. ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"8.0";"1.5";"";"";"";"";"";"";
